Battery Management Master,BMM1,BMM1,BMM2,BMM2,Other,Other,Other
Description,Electrics,State,Electrics,State,Other,Other,Other
Math operation,_act,Other,_act,Other,Other,Other,Other
Original Description,BMM1_Electrics_BMM1_act_P_BatteryPower_kW,BMM1_State_BMM1_flag_Charge,BMM2_Electrics_BMM2_act_P_BatteryPower_kW,BMM2_State_BMM2_flag_Charge,GPS-Speed,Latitude,Longitude
Timestamp,,,,,,,
2017-01-13 08:20:03,8.7,0.0,7.7,0.0,10.31,50909373,6961602
2017-01-13 08:20:09,-13.3,0.0,-13.7,0.0,0.0,50909410,6961627
2017-01-13 08:20:15,-13.6,0.0,-13.5,0.0,0.0,50909410,6961627
2017-01-13 08:20:21,-16.1,0.0,-16.0,0.0,0.0,50909410,6961627
2017-01-13 08:20:27,4.1,0.0,4.5,0.0,16.61,50909548,6961725
2017-01-13 08:20:33,-15.7,0.0,-15.7,0.0,0.0,50909645,6961822
2017-01-13 08:20:39,-16.2,0.0,-16.1,0.0,0.0,50909645,6961822
2017-01-13 08:20:45,-16.0,0.0,-15.9,0.0,0.0,50909645,6961822
2017-01-13 08:20:51,-15.8,0.0,-16.2,0.0,0.0,50909645,6961822
2017-01-13 08:20:57,-19.8,0.0,-22.7,0.0,0.0,50909645,6961822
2017-01-13 08:21:03,-13.7,0.0,-13.7,0.0,0.0,50909645,6961822
2017-01-13 08:21:09,-74.7,0.0,-74.2,0.0,0.0,50909645,6961822
2017-01-13 08:21:15,12.5,0.0,13.9,0.0,12.49,50909842,6962030
2017-01-13 08:21:21,-94.8,0.0,-95.5,0.0,13.81,50909978,6962135
2017-01-13 08:21:27,18.9,0.0,19.4,0.0,26.42,50910348,6962462
2017-01-13 08:21:33,0.0,0.0,-1.7,0.0,9.72,50910620,6962562
2017-01-13 08:21:39,-13.3,0.0,-13.3,0.0,0.0,50910690,6962603
2017-01-13 08:21:45,-13.3,0.0,-13.5,0.0,0.0,50910690,6962603
2017-01-13 08:21:51,-13.4,0.0,-13.5,0.0,0.0,50910690,6962603
2017-01-13 08:21:57,-13.4,0.0,-13.6,0.0,0.0,50910690,6962603
2017-01-13 08:22:03,-15.4,0.0,-15.4,0.0,0.0,50910690,6962603
2017-01-13 08:22:09,-23.1,0.0,-23.3,0.0,0.0,50910690,6962603
2017-01-13 08:22:15,-65.9,0.0,-66.7,0.0,23.04,50910920,6962632
2017-01-13 08:22:21,-2.9,0.0,0.2,0.0,24.0,50911295,6962578
2017-01-13 08:22:27,2.9,0.0,3.1,0.0,14.57,50911592,6962563
2017-01-13 08:22:33,-16.3,0.0,-16.0,0.0,0.0,50911698,6962528
2017-01-13 08:22:39,-13.7,0.0,-13.3,0.0,0.0,50911698,6962528
2017-01-13 08:22:45,-5.8,0.0,-5.5,0.0,0.0,50911698,6962528
2017-01-13 08:22:51,-2.5,0.0,-2.4,0.0,0.0,50911698,6962528
2017-01-13 08:22:57,-17.6,0.0,-18.0,0.0,0.0,50911698,6962528
2017-01-13 08:23:03,-73.6,0.0,-73.2,0.0,23.42,50911917,6962480
2017-01-13 08:23:09,-52.3,0.0,-51.7,0.0,32.78,50912338,6962392
